;index;CODGEO;LIBGEO;ZE2020;LIBZE2020;latitude;longitude
161;15366;1001;Ambloy, France;2415;Vendôme;47.7124859;0.9683204
162;15367;1002;Angé, France;2413;Blois;47.3320432;1.2431994
163;15633;2001;Aboën, France;60;Saint Etienne;45.4136;4.13129
164;15634;2002;Ailleux, France;60;La Plaine du Forez;45.8026818;3.9442263
165;15635;2003;Ambierle, France;8212;Roanne;46.1037566;3.8962376
166;15638;2007;Arcinges, France;8212;Tarare;46.1376;4.28207
167;15664;2034;Cervières, France;9303;Le Livradois;45.8477259;3.771638
168;16213;4001;Abbaretz, France;5203;Châteaubriant;47.5525545;-1.5322775
169;16214;4002;Aigrefeuille-sur-Maine, France;5203;Nantes;47.0764444;-1.3995865
170;16215;4003;Ancenis-Saint-Géréon, France;5201;Ancenis;47.3817908;-1.195798443873262
171;16216;4005;Chaumes-en-Retz, France;5203;Pornic;47.156608950000006;-1.918240102194512
172;16217;4006;Assérac, France;5204;Saint-Nazaire;47.4291286;-2.3907795
173;16284;4081;Legé, France;5203;Challans;46.8867571;-1.5979446
174;16421;5002;Aillant-sur-Milleron, France;2417;Montargis;47.7930548;2.9294134
175;16423;5005;Andonville, France;2418;Pithiviers;48.270129;2.0308465
176;16745;6001;Albas, France;9103;Cahors;43.0057996;2.7349282
177;16746;6002;Albiac, France;57;Nord-du-Lot;43.5517;1.78014
178;17377;8001;Albaret-le-Comtal, France;9113;Mende;44.8749;3.12703
179;17529;9002;Allonnes, France;2404;Saumur;48.3304943;1.6561556
180;17531;9007;Angers, France;5205;Angers;47.4739884;-0.5515588
181;17532;9008;Angrie, France;5208;Segré-en-Anjou Bleu;47.5706486;-0.974366
182;17536;9012;Aubigné-sur-Layon, France;5205;Cholet;47.2123569;-0.4599691
183;17539;9018;Baugé-en-Anjou, France;5205;La Flèche;47.5612379;-0.1036842
184;17618;9205;Miré, France;5205;Sablé-sur-Sarthe;47.7572442;-0.4929743
185;17707;3;Agon-Coutainville, France;2508;Coutances;49.0413;-1.58178
186;17710;8;Anctoville-sur-Boscq, France;2509;Granville;48.8436454;-1.5322148
187;17711;13;Anneville-en-Saire, France;2507;Cherbourg en Cotentin;49.6356887;-1.2864565
188;17714;19;Aucey-la-Plaine, France;2506;Avranches;48.5275807;-1.478515
189;18152;1001;Ablancourt, France;2103;Châlons-en-Champagne;48.8135016;4.5211851
190;18153;1002;Saint-Martin-d'Ablois, France;2104;Épernay;49.0126239;3.8674191
191;18765;2001;Ageville, France;2106;Chaumont;48.1105575;5.3552791
192;19191;3001;Ahuillé, France;5209;Laval;48.0191544;-0.8708288
193;19192;3002;Alexain, France;5209;Mayenne;48.2295898;-0.7686281
194;19200;3012;Athée, France;2603;Château-Gontier;47.2306416;5.3710449
195;19222;3038;Boulay-les-Ifs, France;51;Alençon;48.4199465;-0.1325582
196;19431;4001;Abaucourt, France;4103;Nancy;48.8969262;6.2597394
197;19432;4002;Abbéville-lès-Conflans, France;4107;Metz;49.1968237;5.845958
198;19434;4004;Affléville, France;4107;Thionville;49.2694651;5.7624533
199;19443;4013;Amenoncourt, France;4109;Sarrebourg;48.6274542;6.788388
200;19444;4014;Ancerviller, France;4109;Saint-Dié-des-Vosges;48.5327811;6.8343842
201;20022;5001;Abainville, France;4105;Bar-le-Duc;48.5312887;5.4952653
202;20023;5002;Abaucourt-Hautecourt, France;4106;Verdun;49.19701;5.5402699
203;20522;6002;Ambon, France;5318;Vannes;47.55539425;-2.554524246013524
204;20527;6007;Auray, France;5318;Auray;47.6664485;-2.9833718
205;20534;6014;Berné, France;5315;Lorient;47.9933577;-3.3914196
206;20774;7004;Achain, France;4108;Saint-Avold;48.913344;6.5912051
207;20775;7006;Achen, France;4110;Sarreguemines;49.0441;7.1837
208;20782;7013;Alsting, France;4110;Forbach;49.1793035;7.0003939
209;21498;8003;Alligny-en-Morvan, France;2605;Avallon;47.2002347;4.1770004
210;21514;8019;Avrée, France;2605;Charolais;46.8183929;3.8692711
211;21805;9001;Abancourt, France;3116;Cambrai;49.6977145;1.7646826
212;21806;9002;Abscon, France;3115;Valenciennes;50.3297;3.29753
213;21808;9004;Aix-en-Pévèle, France;3114;Lille;50.4912838;3.2907097
214;21811;9007;Anhiers, France;3114;Douai;50.4048292;3.1538196
215;21820;9016;Armbouts-Cappel, France;3112;Dunkerque;50.9780439;2.3515813
216;21855;9054;Bavinchove, France;3113;Saint-Omer;50.7861456;2.4558945
217;21891;9090;Bondues, France;3110;Roubaix-Tourcoing;50.7034622;3.0921638
218;22011;9212;Estaires, France;3113;Béthune;50.6440257;2.7226506
219;22453;1;Abancourt, France;3116;Beauvais;49.6977145;1.7646826
220;22458;6;Les Ageux, France;56;Creil;49.3147056;2.5956045
221;22463;11;Amy, France;2208;Compiègne;49.6550883;2.8249186
222;23133;1002;Almenêches, France;2511;Argentan;48.6971496;0.1084433
223;23517;2001;Ablain-Saint-Nazaire, France;3121;Lens;50.3922638;2.7120107
224;23518;2002;Ablainzevelle, France;3121;Arras;50.1515391;2.7305612
225;23531;2015;Airon-Notre-Dame, France;3127;Berck;50.4365074;1.6558224
226;23536;2020;Alembon, France;3125;Calais;50.7847342;1.8870053
227;23538;2022;Alincthun, France;3126;Boulogne-sur-Mer;50.7312468;1.8030674
228;24407;3001;Aigueperse, France;8310;Clermont-Ferrand;46.0219319;3.20189
229;24874;4004;Abitain, France;7212;Oloron-Sainte-Marie;43.4202014;-0.9896401
